datetime,open,high,low,close
2022-03-02,1.33355,1.340785,1.32717,1.33966
2022-03-03,1.33966,1.3418,1.331765,1.335055
2022-03-04,1.335035,1.335235,1.32025,1.32302
2022-03-06,1.32269,1.32441,1.320205,1.321175
2022-03-07,1.32117,1.322865,1.310205,1.31135
2022-03-08,1.311355,1.314475,1.30823,1.309875
2022-03-09,1.30987,1.31901,1.30986,1.31849
2022-03-10,1.3185,1.31948,1.30818,1.31027
2022-03-11,1.31027,1.312515,1.30276,1.303535
2022-03-13,1.304305,1.30527,1.303245,1.30497
2022-03-14,1.304975,1.307935,1.300125,1.301005
2022-03-15,1.301,1.308885,1.30006,1.304425
2022-03-16,1.30443,1.31567,1.3036,1.314025
2022-03-17,1.31402,1.32112,1.30878,1.315895
2022-03-18,1.31589,1.3197,1.31222,1.31783
2022-03-20,1.31787,1.31797,1.315915,1.315975
2022-03-21,1.31597,1.32101,1.312705,1.31694
2022-03-22,1.316935,1.327205,1.31552,1.32661
2022-03-23,1.326615,1.32987,1.31754,1.320555
2022-03-24,1.32056,1.32143,1.31572,1.31944
2022-03-25,1.319435,1.322505,1.31594,1.31815
2022-03-27,1.318205,1.318685,1.31689,1.31733
2022-03-28,1.317325,1.317685,1.30669,1.309945
2022-03-29,1.30994,1.31061,1.30785,1.30932
2022-03-30,1.30931,1.31827,1.30888,1.313755
2022-03-31,1.31375,1.31758,1.31064,1.314565
2022-04-01,1.31457,1.31468,1.30865,1.311475
2022-04-03,1.31061,1.31122,1.30995,1.310465
2022-04-04,1.31047,1.31372,1.30933,1.31129
2022-04-05,1.311285,1.316705,1.306705,1.307695
2022-04-06,1.30769,1.310835,1.30458,1.306945
2022-04-07,1.306935,1.31068,1.3052,1.30691
2022-04-08,1.306905,1.30774,1.29822,1.303665
2022-04-10,1.303125,1.303975,1.302485,1.30302
2022-04-11,1.303015,1.305695,1.298925,1.30229
2022-04-12,1.302295,1.305405,1.299395,1.300185
2022-04-13,1.30019,1.31234,1.2973,1.31189
2022-04-14,1.311885,1.314755,1.30336,1.307575
2022-04-15,1.305355,1.30753,1.305125,1.306155
2022-04-17,1.305475,1.306475,1.30502,1.305715
2022-04-18,1.30571,1.30578,1.300145,1.30078
2022-04-19,1.300785,1.3041,1.298075,1.30141
2022-04-20,1.30141,1.30741,1.29966,1.306845
2022-04-21,1.306795,1.30905,1.302255,1.30248
2022-04-22,1.302485,1.303315,1.2823,1.28381
2022-04-24,1.28388,1.28428,1.28264,1.282845
2022-04-25,1.28284,1.282995,1.26976,1.273795
2022-04-26,1.27379,1.277245,1.25603,1.25817
2022-04-27,1.258175,1.260205,1.250275,1.253995
2022-04-28,1.25399,1.257005,1.24115,1.24651
2022-04-29,1.24652,1.261475,1.24652,1.25761
2022-05-01,1.258375,1.258905,1.256975,1.257055
2022-05-02,1.25706,1.259735,1.2473,1.24997
2022-05-03,1.249965,1.256745,1.247065,1.24987
2022-05-04,1.249865,1.263815,1.245195,1.26166
2022-05-05,1.261665,1.26333,1.23251,1.23627
2022-05-06,1.236265,1.23805,1.22764,1.23385
2022-05-08,1.23395,1.234765,1.23246,1.23259
2022-05-09,1.232585,1.24063,1.22611,1.23361
2022-05-10,1.233645,1.237585,1.22918,1.230745
2022-05-11,1.23074,1.240055,1.22322,1.22337
2022-05-12,1.22335,1.22487,1.21654,1.22046
2022-05-13,1.22045,1.22626,1.21557,1.22618
2022-05-16,1.22608,1.23298,1.22174,1.23257
2022-05-17,1.23258,1.24991,1.23209,1.24872
2022-05-18,1.24874,1.250125,1.233,1.23445
2022-05-19,1.23444,1.252475,1.23383,1.24631
2022-05-20,1.246315,1.24972,1.24375,1.24937
2022-05-22,1.24831,1.251005,1.24764,1.25036
2022-05-23,1.250355,1.26013,1.25001,1.25672
2022-05-24,1.25663,1.25988,1.24718,1.25417
2022-05-25,1.25417,1.25947,1.24813,1.258615
2022-05-26,1.25862,1.26211,1.255205,1.2617
2022-05-27,1.26169,1.26169,1.26169,1.26169
2022-05-29,1.26245,1.263655,1.262285,1.26246
2022-05-30,1.262475,1.266,1.26164,1.26458
2022-05-31,1.26459,1.26487,1.25606,1.26097
2022-06-01,1.26098,1.26168,1.24588,1.248395
2022-06-02,1.2484,1.25867,1.246965,1.25785
2022-06-03,1.25784,1.259,1.24858,1.248945
2022-06-05,1.24902,1.250285,1.248735,1.24904
2022-06-06,1.24905,1.25777,1.24769,1.25236
2022-06-07,1.25235,1.25995,1.24306,1.25877
2022-06-08,1.258775,1.25894,1.25155,1.25406
2022-06-09,1.254055,1.25587,1.24865,1.24927
2022-06-10,1.249275,1.25178,1.230125,1.23167
2022-06-12,1.23194,1.23257,1.22723,1.22771
2022-06-13,1.227705,1.23008,1.21075,1.21427
2022-06-14,1.214265,1.22085,1.19339,1.201115
2022-06-15,1.20112,1.22051,1.198965,1.21749
2022-06-16,1.21748,1.24068,1.20414,1.235055
2022-06-17,1.235055,1.235055,1.21729,1.222135
2022-06-19,1.222455,1.22317,1.22084,1.2228
2022-06-20,1.22279,1.228065,1.219955,1.22483
2022-06-21,1.22482,1.232475,1.2245,1.22641
2022-06-22,1.226415,1.23148,1.21613,1.22525
2022-06-23,1.225245,1.22947,1.21701,1.22601
2022-06-24,1.226015,1.23208,1.22412,1.22756
2022-06-26,1.22683,1.22969,1.22664,1.22827
2022-06-27,1.22826,1.233255,1.226145,1.226655
2022-06-28,1.22665,1.22917,1.21753,1.218795
2022-06-29,1.21879,1.22135,1.210575,1.21291
2022-06-30,1.21292,1.21887,1.20922,1.21606
2022-07-01,1.216055,1.21617,1.19757,1.210155
2022-07-03,1.21025,1.21235,1.20981,1.210035
2022-07-04,1.21003,1.21654,1.20851,1.21137
2022-07-05,1.21134,1.21255,1.18988,1.19515
2022-07-06,1.195145,1.198965,1.18762,1.19224
2022-07-07,1.192235,1.203395,1.19093,1.2029
2022-07-08,1.20291,1.205615,1.19198,1.20338
2022-07-11,1.20104,1.20124,1.18667,1.18994
2022-07-12,1.18993,1.19161,1.18074,1.18776
2022-07-13,1.187755,1.19676,1.18277,1.18639
2022-07-14,1.186405,1.188455,1.176005,1.184085
2022-07-15,1.18408,1.187485,1.18045,1.18691
2022-07-17,1.18687,1.18908,1.186285,1.189
2022-07-18,1.189,1.203375,1.18746,1.194905
2022-07-19,1.1949,1.204555,1.19252,1.20026
2022-07-20,1.200255,1.20377,1.19538,1.196815
2022-07-21,1.19681,1.200545,1.18904,1.199565
2022-07-22,1.199555,1.20642,1.19168,1.20073
2022-07-24,1.199165,1.19919,1.198535,1.19856
2022-07-25,1.198565,1.20867,1.196065,1.20539
2022-07-26,1.2054,1.20904,1.196415,1.20357
2022-07-27,1.203545,1.21863,1.20207,1.21623
2022-07-28,1.216235,1.21917,1.21036,1.21731
2022-07-29,1.217315,1.22458,1.20632,1.218105
2022-07-31,1.21726,1.217945,1.215705,1.2168
2022-08-01,1.216805,1.229355,1.21631,1.22574
2022-08-02,1.22576,1.22794,1.21409,1.21436
2022-08-03,1.214405,1.22078,1.21002,1.21387
2022-08-04,1.21417,1.221705,1.20659,1.21586
2022-08-05,1.215865,1.21693,1.20037,1.20716
2022-08-07,1.206905,1.20718,1.205745,1.20611
2022-08-08,1.206115,1.21377,1.204775,1.20855
2022-08-09,1.208545,1.21304,1.20634,1.207165
2022-08-10,1.20716,1.2277,1.20652,1.221045
2022-08-11,1.22104,1.22496,1.218255,1.219485
2022-08-12,1.21948,1.221645,1.20999,1.21375
2022-08-14,1.2136,1.21396,1.21266,1.212725
2022-08-15,1.21273,1.21484,1.20504,1.20565
2022-08-16,1.20564,1.21182,1.2008,1.209475
2022-08-17,1.20948,1.214375,1.202825,1.20456
2022-08-18,1.20457,1.20798,1.1923,1.19308
2022-08-19,1.19309,1.19335,1.17921,1.183035
2022-08-21,1.182325,1.18341,1.181145,1.1819
2022-08-22,1.18191,1.18369,1.174235,1.17656
2022-08-23,1.17657,1.1878,1.17176,1.183005
2022-08-24,1.18301,1.18358,1.175585,1.179075
2022-08-25,1.17907,1.18644,1.1784,1.18232
2022-08-26,1.182315,1.19011,1.17337,1.17403
2022-08-28,1.16925,1.169255,1.168835,1.1689
2022-08-29,1.16907,1.1744,1.16484,1.17218
2022-08-30,1.17216,1.17605,1.16219,1.16586
2022-08-31,1.16587,1.169395,1.15941,1.15973
2022-09-01,1.159735,1.16168,1.14994,1.15474
2022-09-02,1.154735,1.158885,1.14962,1.15145
2022-09-05,1.14789,1.1567,1.144405,1.15646
2022-09-06,1.156455,1.16095,1.149465,1.15106
2022-09-07,1.151065,1.15413,1.14054,1.152235
2022-09-08,1.15224,1.15609,1.14606,1.15204
2022-09-09,1.152035,1.164845,1.15158,1.15878
2022-09-11,1.1627,1.163905,1.16025,1.16202
2022-09-12,1.162015,1.171075,1.16008,1.16892
2022-09-13,1.168925,1.17384,1.14821,1.15026
2022-09-14,1.150255,1.158985,1.148035,1.154465
2022-09-15,1.15447,1.1548,1.14513,1.1452
2022-09-16,1.145205,1.14807,1.13507,1.142385
2022-09-18,1.14181,1.14412,1.14122,1.14343
2022-09-19,1.14342,1.14459,1.13555,1.144485
2022-09-20,1.14448,1.1461,1.13575,1.13806
2022-09-21,1.138055,1.13847,1.123665,1.125735
2022-09-22,1.12582,1.136465,1.121185,1.12627
2022-09-23,1.12626,1.127415,1.08395,1.085105
2022-09-25,1.081385,1.084625,1.07804,1.079335
2022-09-26,1.07933,1.09311,1.03437,1.076635
2022-09-27,1.076685,1.083815,1.06594,1.07262
2022-09-28,1.07263,1.09158,1.054,1.08313
2022-09-29,1.08313,1.12042,1.07624,1.11717
2022-09-30,1.11718,1.12345,1.10255,1.11628
2022-10-02,1.11708,1.11949,1.11283,1.11358
2022-10-03,1.11359,1.13417,1.10861,1.13383
2022-10-04,1.13384,1.14894,1.12807,1.14508
2022-10-05,1.14509,1.14957,1.12272,1.13563
2022-10-06,1.13564,1.1384,1.11131,1.116195
2022-10-07,1.11619,1.12254,1.1056,1.10939
2022-10-09,1.10933,1.10951,1.10621,1.10728
2022-10-10,1.10729,1.11115,1.10199,1.10791
2022-10-11,1.10793,1.118,1.09531,1.09641
2022-10-12,1.096405,1.11341,1.09238,1.11011
2022-10-13,1.1101,1.13808,1.10573,1.13016
2022-10-14,1.13016,1.13667,1.11521,1.117995
2022-10-16,1.1226,1.12507,1.12134,1.12419
2022-10-17,1.12418,1.14398,1.12162,1.1352
2022-10-18,1.135205,1.14109,1.1256,1.13427
2022-10-19,1.13426,1.13513,1.11854,1.12184
2022-10-21,1.11052,1.13152,1.10609,1.12979
2022-10-23,1.13807,1.140935,1.13077,1.13364
2022-10-24,1.13367,1.13827,1.12583,1.13061
2022-10-25,1.13062,1.14998,1.12715,1.14589
2022-10-26,1.14588,1.16407,1.14308,1.16393
2022-10-27,1.16392,1.16459,1.15493,1.15646
2022-10-28,1.156485,1.1624,1.1504,1.16139
2022-10-30,1.15942,1.16068,1.15869,1.1595
2022-10-31,1.15951,1.16139,1.14592,1.14677
2022-11-01,1.14679,1.15663,1.14374,1.14889
2022-11-02,1.14892,1.15645,1.13753,1.13838
2022-11-03,1.13837,1.14222,1.11495,1.11704
2022-11-04,1.11705,1.13824,1.11467,1.13754
2022-11-06,1.13141,1.13419,1.13055,1.13311
2022-11-07,1.13312,1.15418,1.12908,1.151315
2022-11-08,1.15131,1.15992,1.14303,1.15519
2022-11-09,1.1552,1.15672,1.1334,1.13682
2022-11-10,1.13683,1.17316,1.13634,1.16948
2022-11-11,1.16946,1.18549,1.16475,1.1836
2022-11-13,1.18177,1.18177,1.17671,1.17971
2022-11-14,1.1797,1.1829,1.17105,1.17518
2022-11-15,1.17519,1.20295,1.17412,1.18796
2022-11-16,1.18797,1.19424,1.18315,1.19144
2022-11-17,1.19143,1.19582,1.17629,1.1859
2022-11-18,1.18593,1.19511,1.18586,1.1883
2022-11-20,1.19016,1.19016,1.1881,1.18854
2022-11-21,1.18852,1.18867,1.17788,1.18266
2022-11-22,1.18267,1.1903,1.182245,1.18936
2022-11-23,1.18938,1.20812,1.18728,1.2077
2022-11-24,1.20771,1.21538,1.20591,1.21127
2022-11-25,1.21126,1.21276,1.20585,1.20969
2022-11-27,1.20722,1.20789,1.20512,1.20541
2022-11-28,1.2054,1.21184,1.19405,1.19597
2022-11-29,1.19598,1.20646,1.19422,1.19463
2022-11-30,1.19464,1.20887,1.19005,1.20752
2022-12-01,1.20751,1.23068,1.20699,1.22587
2022-12-02,1.22588,1.23003,1.213455,1.22933
2022-12-04,1.22789,1.229715,1.2271,1.22965
